Jenis Kelamin,Usia,Pendidikan Terakhir,Pekerjaan,Penghasilan per Bulan,Domisili,Durasi Penggunaan Internet per Hari (dalam Jam),Aktivitas Online Meningkat,Aktivitas yang Meningkat dalam 3 Bulan Terakhir,layanan_aktif_1,layanan_aktif_2,layanan_aktif_3,layanan_aktif_4,layanan_aktif_5,layanan_aktif_6,bank_1,bank_2,bank_3,bank_4,bank_5,bank_6,bank_7,18. Bagaimana frekuensi penggunaan Channel Bank berikut? [ATM],18. Bagaimana frekuensi penggunaan Channel Bank berikut? [Internet Banking ],18. Bagaimana frekuensi penggunaan Channel Bank berikut? [Mobile Banking ],18. Bagaimana frekuensi penggunaan Channel Bank berikut? [SMS Banking],18. Bagaimana frekuensi penggunaan Channel Bank berikut? [Datang ke cabang bank],19. Manakah channel/ layanan yang lebih Anda sukai ketika Anda akan menggunakan fitur-fitur layanan perbankan berikut? [Cek Saldo ],19. Manakah channel/ layanan yang lebih Anda sukai ketika Anda akan menggunakan fitur-fitur layanan perbankan berikut? [Mutasi Rekening],19. Manakah channel/ layanan yang lebih Anda sukai ketika Anda akan menggunakan fitur-fitur layanan perbankan berikut? [Transfer antar rekening (sesama bank)],19. Manakah channel/ layanan yang lebih Anda sukai ketika Anda akan menggunakan fitur-fitur layanan perbankan berikut? [Transfer antar bank],"19. Manakah channel/ layanan yang lebih Anda sukai ketika Anda akan menggunakan fitur-fitur layanan perbankan berikut? [Pembelian Pulsa, eMoney atau voucher-voucher lain]",19. Manakah channel/ layanan yang lebih Anda sukai ketika Anda akan menggunakan fitur-fitur layanan perbankan berikut? [Pembayaran Tagihan],keluhan_1,keluhan_2,keluhan_3,keluhan_4,emoney_pilihan_1,emoney_pilihan_2,emoney_pilihan_3,emoney_pilihan_4,emoney_pilihan_5,emoney_pilihan_6,emoney_pilihan_7,emoney_pilihan_8,emoney_pilihan_9,emoney_pilihan_10,emoney_pilihan_11,alasan_pakai_emoney_1,alasan_pakai_emoney_2,alasan_pakai_emoney_3,alasan_pakai_emoney_4,alasan_pakai_emoney_5,penggunaan_emoney_1,penggunaan_emoney_2,penggunaan_emoney_3,penggunaan_emoney_4,penggunaan_emoney_5,penggunaan_emoney_6,penggunaan_emoney_7,penggunaan_emoney_8,penggunaan_emoney_9,penggunaan_emoney_10,cara_topup_emoney_1,cara_topup_emoney_2,cara_topup_emoney_3,cara_topup_emoney_4,cara_topup_emoney_5,cara_topup_emoney_6,cara_topup_emoney_7,39. Berapa biasanya nominal Anda melakukan top up/ isi ulang?,40. Berapa frekuensi top up/ Isi ulang ?,keluhan_emoney_1,keluhan_emoney_2,keluhan_emoney_3,keluhan_emoney_4,penggunaan_qr_1,penggunaan_qr_2,penggunaan_qr_3,penggunaan_qr_4,lokasi_qr_1,lokasi_qr_2,lokasi_qr_3,lokasi_qr_4,lokasi_qr_5,lokasi_qr_6,45. Bagaimana frekuensi Anda melakukan belanja online dalam 6 bulan terakhir?,belanja_online_meningkat_6bln_terakhir_1,belanja_online_meningkat_6bln_terakhir_2,belanja_online_meningkat_6bln_terakhir_3,belanja_online_meningkat_6bln_terakhir_4,belanja_online_meningkat_6bln_terakhir_5,belanja_online_meningkat_6bln_terakhir_6,belanja_online_meningkat_6bln_terakhir_7,belanja_online_meningkat_6bln_terakhir_8,belanja_online_meningkat_6bln_terakhir_9,belanja_online_meningkat_6bln_terakhir_10,47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [fashion & mode],47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [groceries / keperluan sehari- hari],47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [handphone],47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [laptop/computer],47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [alat elektronik rumah tangga],47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [kosmetik & alat kecantikan/ perawatan badan],"47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [buku, hobi & koleksi]",47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [pulsa (data & komunikasi)],47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [makanan & minuman],47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [tiket pesawat tiket kereta api hotel],47. Bagaimana kecenderungan Anda jika akan berbelanja hal-hal berikut? [tiket bioskop tiket wisata],tempat_belanja_online_1,tempat_belanja_online_2,tempat_belanja_online_3,tempat_belanja_online_4,tempat_belanja_online_5,tempat_belanja_online_6,tempat_belanja_online_7,tempat_belanja_online_8,ecommerce_pilihan_1,ecommerce_pilihan_2,ecommerce_pilihan_3,ecommerce_pilihan_4,ecommerce_pilihan_5,ecommerce_pilihan_6,ecommerce_pilihan_7,ecommerce_pilihan_8,ecommerce_pilihan_9,ecommerce_pilihan_10,ecommerce_pilihan_11,ecommerce_pilihan_12,"50. Apakah Anda pernah menggunakan layanan Food Delivery (pembelian makanan/ minuman secara online )? Jika Pernah, mohon sebutkan layanan yang PALING sering Anda gunakan?",alasan_belanja_offline_1,alasan_belanja_offline_2,alasan_belanja_offline_3,alasan_belanja_offline_4,alasan_belanja_offline_5,alasan_belanja_offline_6,alasan_belanja_offline_7,cara_pembayaran_belanja_online_1,cara_pembayaran_belanja_online_2,cara_pembayaran_belanja_online_3,cara_pembayaran_belanja_online_4,cara_pembayaran_belanja_online_5,cara_pembayaran_belanja_online_6,cara_pembayaran_belanja_online_7,cara_pembayaran_belanja_online_8,keluhan_belanja_online_1,keluhan_belanja_online_2,keluhan_belanja_online_3,keluhan_belanja_online_4,keluhan_belanja_online_5,keluhan_belanja_online_6
Pria,50,SMA,Karyawan Swasta,> Rp 10 juta,Jakarta,1400%,Ya,Mengikuti kelas online,Mobile Banking,,Kartu Kredit,,,,,,,,,,,6-9 kali per bulan,,> 10 kali per bulan,,,,,,Mobile Banking,Mobile Banking,,Layanan/ Sistem down,,,,GoPay,,OVO,,eMoney Mandiri,,,,,JakCard,,,Efisien secara waktu,,Tidak perlu datang ke bank,Aman,Pembelian delivery makanan,Pembayaran transportasi online,Pembayaran e-commerce,Pembayaran di restauran/ cafe,Pembelian pulsa,Pembayaran tol,Pembayaran di minimarket,Pembayaran tiket parkir,Pembayaran transportasi umum,,Mobile Banking,,ATM,,,,,Rp 150.001 – Rp 300.000,Sering (kurang lebih 1 kali seminggu),,,Telah Top Up tapi saldo tidak bertambah,,QRIS,GoPay,OVO,,Cafe/ restaurant,Mini market,,Tempat hiburan/ rekreasi (seperti bioskop,Pedagang kaki lima / warung-warung pinggir jalan,,Meningkat,Membeli makanan dan minuman secara online,,Pembelian pulsa secara online,,,,,Booking Hotel secara online,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,,Gojek (GoFood,Tokopedia,Grab (GrabFood,,,,,,,,,GoFood,,,,Sambil jalan-jalan,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,,,,Kartu Kredit / Debit Online,,,,,Pembayaran sudah dilakukan; barang tidak tersedia,,,
Wanita,19,S1,Pelajar / Mahasiswa,< Rp 2 juta,bogor,,Ya,Mengikuti kelas online,Mobile Banking,,,,,,,Bank Mandiri,,,,,,2-5 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,> 10 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,,,Layanan/ Sistem down,,,,GoPay,ShopeePay,OVO,Dana,,,,,,,,Simple,,Promo,,,Pembelian delivery makanan,Pembayaran transportasi online,Pembayaran e-commerce,Pembayaran di restauran/ cafe,Pembelian pulsa,Pembayaran tol,Pembayaran di minimarket,,Pembayaran transportasi umum,,Mobile Banking,,,,,,,> Rp 300.000,Sering (kurang lebih 1 kali seminggu),Aplikasi tidak bisa digunakan/ diakses,,,,QRIS,GoPay,OVO,,Cafe/ restaurant,Mini market,Supermarket/ Mall,Tempat hiburan/ rekreasi (seperti bioskop,Pedagang kaki lima / warung-warung pinggir jalan,,Meningkat,,Belanja fashion & mode secara online,,Belanja groceries / keperluan sehari-hari secara online,Belanja kosmetik & alat kecantikan/ perawatan badan secara online,,,,,,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,Gojek (GoFood,Tokopedia,,,,,,,,,,GrabFood,,Dapat mengecek keaslian dan kualitas Lebih aman,,,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,,,
Wanita,53,S1,Ibu Rumah Tangga,Rp 5 juta – Rp 10 juta,Depok Jabar,1200%,Sama saja,Berbelanja online,Mobile Banking,,,,,,Bank BNI,Bank Mandiri,,,,,,2-5 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,,,GoPay,ShopeePay,OVO,,eMoney Mandiri,,,,,,,,Efisien secara waktu,,,Aman,Pembelian delivery makanan,Pembayaran transportasi online,Pembayaran e-commerce,,Pembelian pulsa,Pembayaran tol,,Pembayaran tiket parkir,,,Mobile Banking,,,,,,,Rp 150.001 – Rp 300.000,Hanya mengisi jika akan menggunakan,,,Telah Top Up tapi saldo tidak bertambah,,,,,,,,,,,,Tetap,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,,Tokopedia,Grab (GrabFood,,,,,,,,,GrabFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,Pembayaran sudah dilakukan; barang tidak tersedia,,,
Pria,42,S2,Karyawan Swasta,> Rp 10 juta,Jakarta,800%,Sama saja,Streaming video/ film,Mobile Banking,ATM,Kartu Kredit,,,,Bank BNI,,,,,,,> 10 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,,,,,,,eMoney Mandiri,,,,,,,Simple,,,,,,,,Pembayaran di restauran/ cafe,,Pembayaran tol,Pembayaran di minimarket,Pembayaran tiket parkir,,,Mobile Banking,,,,,,,Rp 150.001 – Rp 300.000,Sering (kurang lebih 1 kali seminggu),Aplikasi tidak bisa digunakan/ diakses,,,Nominal saldo berkurang tanpa digunakan untuk transaksi,QRIS,GoPay,,,Cafe/ restaurant,Mini market,Supermarket/ Mall,Tempat hiburan/ rekreasi (seperti bioskop,Pedagang kaki lima / warung-warung pinggir jalan,Pasar tradisional,Tetap,,,,,,Belanja buku,Booking transportasi jarak jauh kereta api/ pesawat secara online,Booking Hotel secara online,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,online,offline/ langsung datang ke toko fisik,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,Whatsapp,,,,,Gojek (GoFood,Tokopedia,,,,,Bukalapak,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,,,,,,Transfer via Virtual Account,,,,Kartu Kredit / Debit Online,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,,,
Pria,23,S1,Karyawan Swasta,Rp 5 juta – Rp 10 juta,Malang,900%,Sama saja,,Mobile Banking,ATM,,,,,Bank BNI,Bank Mandiri,Bank BCA,,,,,6-9 kali per bulan,,6-9 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,,,GoPay,ShopeePay,OVO,Dana,eMoney Mandiri,Flazz BCA,,,,,,,Efisien secara waktu,Promo,Tidak perlu datang ke bank,,Pembelian delivery makanan,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,Pembayaran tol,,,,,Mobile Banking,,ATM,,,,,Rp 50.001 – Rp 100.000,Hanya mengisi jika akan menggunakan,Aplikasi tidak bisa digunakan/ diakses,,,,QRIS,GoPay,,,Cafe/ restaurant,,Supermarket/ Mall,,Pedagang kaki lima / warung-warung pinggir jalan,,Menurun,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,offline/ langsung datang ke toko fisik,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,Website toko online Instagram,,,,,,Shopee,Gojek (GoFood,Tokopedia,,,,,,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,Transfer via Virtual Account,,,Transfer via ATM,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,,,
Wanita,20,S1,Pelajar / Mahasiswa,> Rp 10 juta,Jakarta,500%,Ya,Akses media sosial,Mobile Banking,ATM,,,,,,,,,,,,2-5 kali per bulan,Tidak Pernah,6-9 kali per bulan,Tidak Pernah,Tidak Pernah,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,,,GoPay,ShopeePay,OVO,Dana,,,,,,,,Simple,Efisien secara waktu,,,Aman,Pembelian delivery makanan,Pembayaran transportasi online,Pembayaran e-commerce,,Pembelian pulsa,,Pembayaran di minimarket,,,,Mobile Banking,Top up di minimarket,,,,,,"Rp 25.000 – Rp 50.000,-",Jarang (kurang lebih 1 kali sebulan) Sangat jarang,Aplikasi tidak bisa digunakan/ diakses,,,,,GoPay,OVO,LinkAja,,Mini market,,Tempat hiburan/ rekreasi (seperti bioskop,,,Meningkat,Membeli makanan dan minuman secara online,,,,,Belanja buku,Booking transportasi jarak jauh kereta api/ pesawat secara online,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,Gojek (GoFood,,Grab (GrabFood,,,,,,,,,GrabFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,,Tidak perlu mengeluarkan biaya pengiriman,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,COD (Cash on Delivery),,,Melalui minimarket,,,,,,Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,
Pria,29,S1,Pegawai Negeri,> Rp 10 juta,Jakarta,600%,Tidak,,,ATM,,Internet Banking,,,,,,,Bank BRI,,,2-5 kali per bulan,> 10 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Internet Banking,Internet Banking,Internet Banking,Internet Banking,Internet Banking,Internet Banking,Layanan/ Sistem down,,,,GoPay,ShopeePay,OVO,Dana,eMoney Mandiri,,LinkAja,,Brizzi,,,Simple,Efisien secara waktu,Promo,Tidak perlu datang ke bank,Aman,Pembelian delivery makanan,Pembayaran transportasi online,Pembayaran e-commerce,Pembayaran di restauran/ cafe,Pembelian pulsa,Pembayaran tol,,Pembayaran tiket parkir,Pembayaran transportasi umum,Pembayaran utilitas (PLN,,,,Internet Banking,,,,Rp 100.001 – Rp 150.000,Sangat Sering (beberapa kali dalam seminggu),,Kartu eMoney tidak terdeteksi,,,QRIS,,,,Cafe/ restaurant,Mini market,Supermarket/ Mall,Tempat hiburan/ rekreasi (seperti bioskop,,Pasar tradisional,Menurun,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,online,online,online,online,online,offline/ langsung datang ke toko fisik,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,Website toko online Instagram,,Whatsapp,,,,,,Tokopedia,Grab (GrabFood,,,,,,JD.id,,,GrabFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,,Sambil jalan-jalan,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,Barang rusak/ salah tetapi tidak dapat dikembalikan,,,,
Wanita,17,SMA,Pelajar / Mahasiswa,< Rp 2 juta,Bandung,900%,Sama saja,,Mobile Banking,,,,,,,,Bank BCA,,,,,Kurang dari/ setidaknya 1 kali per bulan,Tidak Pernah,6-9 kali per bulan,Tidak Pernah,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,,,GoPay,,OVO,,,Flazz BCA,,,,,,Simple,Efisien secara waktu,Promo,Tidak perlu datang ke bank,,Pembelian delivery makanan,Pembayaran transportasi online,,,,Pembayaran tol,Pembayaran di minimarket,Pembayaran tiket parkir,,,Mobile Banking,,,,,,,Rp 100.001 – Rp 150.000,Jarang (kurang lebih 1 kali sebulan) Sangat jarang,,,,,QRIS,GoPay,OVO,,Cafe/ restaurant,Mini market,Supermarket/ Mall,Tempat hiburan/ rekreasi (seperti bioskop,,,Tetap,,,,,,,,,,,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,online,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,Gojek (GoFood,,Grab (GrabFood,,,,,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,Sambil jalan-jalan,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,Transfer via Virtual Account,,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,Barang rusak/ salah tetapi tidak dapat dikembalikan,,,,
Pria,33,D3,Karyawan Swasta,Rp 2 juta – Rp 5 juta,Tangerang,400%,Ya,Streaming video/ film,,ATM,,,,,,,Bank BCA,,,,,> 10 kali per bulan,,> 10 kali per bulan,,,ATM,,ATM,ATM,,ATM,Layanan/ Sistem down,,,,,ShopeePay,,Dana,,Flazz BCA,,,,,,,Efisien secara waktu,Promo,,Aman,,,,,Pembelian pulsa,,,Pembayaran tiket parkir,,,Mobile Banking,,ATM,,,,,"< Rp 25.000,-",Hanya mengisi jika akan menggunakan,Aplikasi tidak bisa digunakan/ diakses,,,,QRIS,GoPay,,,,Mini market,,,,,Menurun,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,,offline/ langsung datang ke toko fisik,,,,Marketplace (seperti Lazada,,,,,,,,Shopee,,,,Traveloka,,Tiket.com,,,JD.id,,,GoFood,,,,,Tidak perlu mengeluarkan biaya pengiriman,Lebih murah,,,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,Transfer via ATM,,,,,Barang rusak/ salah tetapi tidak dapat dikembalikan,Pembayaran sudah dilakukan; barang tidak tersedia,Jumlah barang yang diterima kurang,,
Pria,19,SMA,Pelajar / Mahasiswa,< Rp 2 juta,Yogyakarta,300%,Sama saja,,Mobile Banking,ATM,,,,,,,,,Bank BRI,,,2-5 kali per bulan,Tidak Pernah,2-5 kali per bulan,Tidak Pernah,Tidak Pernah,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,,,GoPay,ShopeePay,,,,,LinkAja,,,,,,Efisien secara waktu,Promo,,,Pembelian delivery makanan,Pembayaran transportasi online,Pembayaran e-commerce,,Pembelian pulsa,,Pembayaran di minimarket,Pembayaran tiket parkir,,,Mobile Banking,,,,,,,"< Rp 25.000,-",Sering (kurang lebih 1 kali seminggu),Aplikasi tidak bisa digunakan/ diakses,,,,QRIS,GoPay,,,,Mini market,,,Pedagang kaki lima / warung-warung pinggir jalan,Pasar tradisional,Tetap,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,offline/ langsung datang ke toko fisik,online,online,Marketplace (seperti Lazada,,,,,,,,Shopee,Gojek (GoFood,Tokopedia,,,,,,,,,,GoFood,,Dapat mengecek keaslian dan kualitas Lebih aman,,,,Lebih murah,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,COD (Cash on Delivery),,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,,Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,
Pria,38,S1,Pegawai BUMD,> Rp 10 juta,Bandung,,Tidak,,Mobile Banking,,,,,,Bank BNI,,,,,,,2-5 kali per bulan,Tidak Pernah,> 10 kali per bulan,Tidak Pernah,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,Mobile Banking,Mobile Banking,Datang ke cabang bank,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,,,GoPay,,OVO,,,Flazz BCA,,,,,,,,Promo,,,Pembelian delivery makanan,Pembayaran transportasi online,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,,,,,Mobile Banking,,,,,,,Rp 150.001 – Rp 300.000,Sangat Sering (beberapa kali dalam seminggu),Aplikasi tidak bisa digunakan/ diakses,,,,QRIS,GoPay,OVO,,Cafe/ restaurant,,,Tempat hiburan/ rekreasi (seperti bioskop,Pedagang kaki lima / warung-warung pinggir jalan,,Meningkat,Membeli makanan dan minuman secara online,Belanja fashion & mode secara online,Pembelian pulsa secara online,,,Belanja buku,,Booking Hotel secara online,,,online,offline/ langsung datang ke toko fisik,online,online,online,,online,online,online,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,,Tokopedia,,,Lazada,,Bukalapak,,,,,GoFood,,Dapat mengecek keaslian dan kualitas Lebih aman,,Sambil jalan-jalan,,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,,,Kartu Kredit / Debit Online,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,Barang rusak/ salah tetapi tidak dapat dikembalikan,Pembayaran sudah dilakukan; barang tidak tersedia,Jumlah barang yang diterima kurang,,
Pria,19,SMA,Pelajar / Mahasiswa,< Rp 2 juta,Bogor,,Sama saja,,Mobile Banking,ATM,,,,,,Bank Mandiri,,,,,,2-5 kali per bulan,,6-9 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,,,GoPay,ShopeePay,OVO,Dana,eMoney Mandiri,,,,,,,Simple,Efisien secara waktu,Promo,Tidak perlu datang ke bank,Aman,Pembelian delivery makanan,Pembayaran transportasi online,Pembayaran e-commerce,Pembayaran di restauran/ cafe,Pembelian pulsa,,,Pembayaran tiket parkir,Pembayaran transportasi umum,,Mobile Banking,Top up di minimarket,,,,,,"Rp 25.000 – Rp 50.000,-",Jarang (kurang lebih 1 kali sebulan) Sangat jarang,,Kartu eMoney tidak terdeteksi,Telah Top Up tapi saldo tidak bertambah,,QRIS,,,,Cafe/ restaurant,,,,Pedagang kaki lima / warung-warung pinggir jalan,,Meningkat,Membeli makanan dan minuman secara online,,Pembelian pulsa secara online,,,Belanja buku,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,online,offline/ langsung datang ke toko fisik,online,online,offline/ langsung datang ke toko fisik,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,Gojek (GoFood,Tokopedia,,,,,,,,,,GoFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,Sambil jalan-jalan,Tidak perlu mengeluarkan biaya pengiriman,,,melalui eMoney atau eWallet milik marketplace (seperti shopeepay,Transfer via Virtual Account,Transfer ke rekening bank melalui SMS/Mobile Banking atau Internet Banking,COD (Cash on Delivery),,,Melalui minimarket,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,,,
Wanita,20,SMA,Pelajar / Mahasiswa,Rp 2 juta – Rp 5 juta,Bandung,500%,Sama saja,Delivery Makanan,Mobile Banking,ATM,,,,,,,Bank BCA,,,,,2-5 kali per bulan,Tidak Pernah,> 10 kali per bulan,Tidak Pernah,Tidak Pernah,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,Transaksi / pembayaran yang sama terjadi dua kali,,GoPay,ShopeePay,OVO,,eMoney Mandiri,Flazz BCA,,,,,,Simple,,Promo,,,Pembelian delivery makanan,Pembayaran transportasi online,Pembayaran e-commerce,,,,,Pembayaran tiket parkir,,,Mobile Banking,,,,,,,Rp 100.001 – Rp 150.000,Sangat Sering (beberapa kali dalam seminggu),,Kartu eMoney tidak terdeteksi,Telah Top Up tapi saldo tidak bertambah,,QRIS,GoPay,OVO,,Cafe/ restaurant,,,,,,Tetap,,,,,,,,,,,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,offline/ langsung datang ke toko fisik,online,online,offline/ langsung datang ke toko fisik,online,online,Marketplace (seperti Lazada,Jasa Layanan Delivery Online (seperti Happyfresh,,,,,,,Shopee,Gojek (GoFood,,Grab (GrabFood,,,,,,,,,GrabFood,Dapat memilih barang langsung,Dapat mengecek keaslian dan kualitas Lebih aman,Langsung dapat membawa pulang barang dan menggunakannya,Sambil jalan-jalan,,,,,Transfer via Virtual Account,,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs,,,Jumlah barang yang diterima kurang,,
